description,insurance_type,claim_type,severity,department
"В уведомлението е посочено, че След удар с диво животно има повредена броня и радиатор.",Auto,Animal collision,Medium,Motor Claims
След инцидент е установена фрактура на крак. Клиентът представя документи за събитието.,Accident,Fracture,High,Accident Claims
"Клиентът съобщава, че Счупено е огледало и има следи от вандализъм. Необходима е допълнителна проверка на обстоятелствата.",Auto,Vandalism,Low,Motor Claims
Къщата е засегната от пожар и има опушени стени. Налични са снимки на увредените части.,Property,Fire,Critical,Property Claims
"В уведомлението е посочено, че Паднали керемиди са причинили щети по тавана. Клиентът представя документи за събитието.",Property,Roof damage,High,Property Claims
"Клиентът съобщава, че Автомобилът е надраскан умишлено с остър предмет.",Auto,Vandalism,Medium,Motor Claims
Полетът е отменен и клиентът е направил допълнителни разходи. Необходима е допълнителна проверка на обстоятелствата.,Travel,Flight cancellation,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът съобщава за удар отзад и повреден багажник. Подадено е уведомление към застрахователя.",Auto,Rear-end collision,Medium,Motor Claims
"В уведомлението е посочено, че При движение извън града е настъпил сблъсък с животно. Необходима е допълнителна проверка на обстоятелствата.",Auto,Animal collision,Medium,Motor Claims
Неизвестно лице е повредило боята и фаровете.,Auto,Vandalism,Medium,Motor Claims
По първоначална информация Полетът е закъснял с повече от шест часа.,Travel,Flight delay,Low,Travel Claims
По първоначална информация Автомобилът е изгорял частично след техническа неизправност. Необходима е допълнителна проверка на обстоятелствата.,Auto,Fire,Critical,Motor Claims
По първоначална информация Пожар е унищожил купето на автомобила.,Auto,Fire,High,Motor Claims
По първоначална информация Багажът не е пристигнал на летището.,Travel,Lost baggage,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът е временно нетрудоспособен след злополука. Подадено е уведомление към застрахователя.",Accident,Temporary disability,Medium,Accident Claims
Клиентът е потърсил лекарска помощ в чужбина. Подадено е уведомление към застрахователя.,Travel,Medical expenses,High,Travel Claims
Пострадал е посетител в обект на застрахования. Клиентът представя документи за събитието.,Liability,Bodily injury,Critical,Liability Claims
По първоначална информация Клиентът е получил счупване на ръка след падане. Необходима е допълнителна проверка на обстоятелствата.,Accident,Fracture,Medium,Accident Claims
"Клиентът съобщава, че Градушка е счупила предното стъкло и е нанесла щети по боята. Необходима е допълнителна проверка на обстоятелствата.",Auto,Hail,Medium,Motor Claims
По първоначална информация Пострадалият не може да работи временно след травма. Необходима е допълнителна проверка на обстоятелствата.,Accident,Temporary disability,Medium,Accident Claims
"В уведомлението е посочено, че Причинена е телесна повреда на друго лице.",Liability,Bodily injury,High,Liability Claims
Извършено е лечение в спешно отделение. Клиентът представя документи за събитието.,Health,Emergency treatment,Critical,Health Claims
"Клиентът съобщава, че Клиентът е бил хоспитализиран за няколко дни. Необходима е допълнителна проверка на обстоятелствата.",Health,Hospitalization,High,Health Claims
"Клиентът съобщава, че След спукана тръба са увредени мебели и стени. Подадено е уведомление към застрахователя.",Property,Flood,High,Property Claims
По първоначална информация Багажът е доставен със закъснение от два дни. Налични са снимки на увредените части.,Travel,Delayed baggage,Medium,Travel Claims
Необходими са адвокатски разходи за защита. Подадено е уведомление към застрахователя.,Liability,Legal expenses,High,Liability Claims
"Клиентът съобщава, че Настъпила е смърт вследствие на злополука.",Accident,Death benefit,Critical,Accident Claims
"Клиентът съобщава, че В жилището е възникнал пожар и са повредени мебели и електроуреди. Подадено е уведомление към застрахователя.",Property,Fire,Critical,Property Claims
По първоначална информация Автомобилът е ударен странично на кръстовище. Клиентът представя документи за събитието.,Auto,Side collision,Medium,Motor Claims
"В уведомлението е посочено, че Клиентът е транспортиран до болница с линейка. Необходима е допълнителна проверка на обстоятелствата.",Travel,Emergency evacuation,Critical,Travel Claims
"В уведомлението е посочено, че Клиентът е останал без багаж при пристигане. Необходима е допълнителна проверка на обстоятелствата.",Travel,Delayed baggage,Low,Travel Claims
"В уведомлението е посочено, че Клиентът е потърсил лекарска помощ в чужбина.",Travel,Medical expenses,Medium,Travel Claims
"Клиентът съобщава, че Пострадалият не може да работи временно след травма. Необходима е допълнителна проверка на обстоятелствата.",Accident,Temporary disability,High,Accident Claims
По първоначална информация По време на пътуване са направени медицински разходи. Налични са снимки на увредените части.,Travel,Medical expenses,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът е отговорен за материални щети към трета страна. Клиентът представя документи за събитието.",Liability,Property damage,High,Liability Claims
"В уведомлението е посочено, че При спиране в задръстване друг автомобил се е ударил отзад. Клиентът представя документи за събитието.",Auto,Rear-end collision,High,Motor Claims
"Клиентът съобщава, че Подадена е претенция за възстановяване на разходи за операция. Необходима е допълнителна проверка на обстоятелствата.",Health,Surgery,High,Health Claims
Пътуването е прекъснато поради отменен полет. Необходима е допълнителна проверка на обстоятелствата.,Travel,Flight cancellation,Medium,Travel Claims
"В уведомлението е посочено, че В двигателния отсек е възникнал пожар и автомобилът е силно увреден.",Auto,Fire,Critical,Motor Claims
"В уведомлението е посочено, че Извършено е амбулаторно лечение. Клиентът представя документи за събитието.",Health,Outpatient treatment,Low,Health Claims
"В уведомлението е посочено, че Вода от съседен имот е повредила подовата настилка. Подадено е уведомление към застрахователя.",Property,Flood,Medium,Property Claims
По първоначална информация По автомобила има множество следи от градушка. Необходима е допълнителна проверка на обстоятелствата.,Auto,Hail,Medium,Motor Claims
Авиокомпанията е анулирала полета в деня на пътуването.,Travel,Flight cancellation,Medium,Travel Claims
"Клиентът съобщава, че Причинена е телесна повреда на друго лице. Клиентът представя документи за събитието.",Liability,Bodily injury,Critical,Liability Claims
"В уведомлението е посочено, че Багажът е доставен със закъснение от два дни.",Travel,Delayed baggage,Medium,Travel Claims
Клиентът е потърсил лекарска помощ в чужбина. Налични са снимки на увредените части.,Travel,Medical expenses,Medium,Travel Claims
По първоначална информация Пострадалият има счупена кост след злополука. Необходима е допълнителна проверка на обстоятелствата.,Accident,Fracture,Medium,Accident Claims
"В уведомлението е посочено, че Клиентът има постоянни увреждания след инцидент. Налични са снимки на увредените части.",Accident,Permanent disability,High,Accident Claims
По първоначална информация След пренапрежение са изгорели електроуреди. Подадено е уведомление към застрахователя.,Property,Electrical damage,Medium,Property Claims
"В уведомлението е посочено, че Клиентът е приет по спешност след внезапно влошаване. Налични са снимки на увредените части.",Health,Emergency treatment,Critical,Health Claims
По първоначална информация Клиентът е останал без багаж при пристигане. Налични са снимки на увредените части.,Travel,Delayed baggage,Medium,Travel Claims
Силен вятър е повредил прозорци и външна изолация. Клиентът представя документи за събитието.,Property,Storm,Medium,Property Claims
"В уведомлението е посочено, че Има болничен престой след остро заболяване. Клиентът представя документи за събитието.",Health,Hospitalization,Medium,Health Claims
"Клиентът съобщава, че Представени са рецепта и фактура за медикаменти. Подадено е уведомление към застрахователя.",Health,Medication reimbursement,Medium,Health Claims
По първоначална информация В жилището е възникнал пожар и са повредени мебели и електроуреди. Подадено е уведомление към застрахователя.,Property,Fire,High,Property Claims
По първоначална информация Клиентът съобщава за удар отзад и повреден багажник. Налични са снимки на увредените части.,Auto,Rear-end collision,High,Motor Claims
"Клиентът съобщава, че Силен вятър е повредил прозорци и външна изолация. Необходима е допълнителна проверка на обстоятелствата.",Property,Storm,Medium,Property Claims
"В уведомлението е посочено, че Токов удар е повредил телевизор и компютър. Клиентът представя документи за събитието.",Property,Electrical damage,Medium,Property Claims
По първоначална информация Клиентът е бил хоспитализиран за няколко дни. Подадено е уведомление към застрахователя.,Health,Hospitalization,High,Health Claims
"В уведомлението е посочено, че Има паднала мазилка и напукани тавани след земетресение. Необходима е допълнителна проверка на обстоятелствата.",Property,Earthquake,Critical,Property Claims
По първоначална информация Къщата е засегната от пожар и има опушени стени. Налични са снимки на увредените части.,Property,Fire,Critical,Property Claims
Багажът е доставен със закъснение от два дни. Подадено е уведомление към застрахователя.,Travel,Delayed baggage,Low,Travel Claims
По първоначална информация Пострадал е посетител в обект на застрахования. Необходима е допълнителна проверка на обстоятелствата.,Liability,Bodily injury,Critical,Liability Claims
По първоначална информация Клиентът има постоянни увреждания след инцидент. Клиентът представя документи за събитието.,Accident,Permanent disability,Critical,Accident Claims
"Клиентът съобщава, че Трето лице е пострадало по вина на застрахования. Подадено е уведомление към застрахователя.",Liability,Bodily injury,Critical,Liability Claims
"В уведомлението е посочено, че Пострадал е посетител в обект на застрахования. Подадено е уведомление към застрахователя.",Liability,Bodily injury,High,Liability Claims
По първоначална информация Вода е навлязла в купето и е повредила електрониката. Подадено е уведомление към застрахователя.,Auto,Flood,Critical,Motor Claims
"В уведомлението е посочено, че Клиентът е транспортиран до болница с линейка. Необходима е допълнителна проверка на обстоятелствата.",Travel,Emergency evacuation,High,Travel Claims
"Клиентът съобщава, че Токов удар е повредил телевизор и компютър. Необходима е допълнителна проверка на обстоятелствата.",Property,Electrical damage,Medium,Property Claims
По първоначална информация Има допълнителни разходи поради забавен полет.,Travel,Flight delay,Medium,Travel Claims
"Клиентът съобщава, че Повредена е електроника след късо съединение.",Property,Electrical damage,Low,Property Claims
"Клиентът съобщава, че Има теч от покрива след буря.",Property,Roof damage,High,Property Claims
"Клиентът съобщава, че Куфарът на клиента е изгубен по време на полет.",Travel,Lost baggage,High,Travel Claims
"Клиентът съобщава, че По време на пътуване е възникнала нужда от медицинска евакуация. Клиентът представя документи за събитието.",Travel,Emergency evacuation,Critical,Travel Claims
"В уведомлението е посочено, че Има паднала мазилка и напукани тавани след земетресение. Необходима е допълнителна проверка на обстоятелствата.",Property,Earthquake,High,Property Claims
"Клиентът съобщава, че Клиентът иска възстановяване на разходи за лекарства.",Health,Medication reimbursement,Low,Health Claims
"Клиентът съобщава, че Подадена е претенция за възстановяване на разходи за операция. Подадено е уведомление към застрахователя.",Health,Surgery,Critical,Health Claims
"Клиентът съобщава, че Извършена е хирургична интервенция по медицински показания. Необходима е допълнителна проверка на обстоятелствата.",Health,Surgery,Critical,Health Claims
По първоначална информация Има страничен удар в лявата врата след ПТП.,Auto,Side collision,High,Motor Claims
Има пукнатина на челното стъкло след удар от предмет. Необходима е допълнителна проверка на обстоятелствата.,Auto,Glass damage,Medium,Motor Claims
"Клиентът съобщава, че Счупено е страничното стъкло на автомобила. Подадено е уведомление към застрахователя.",Auto,Glass damage,Medium,Motor Claims
По първоначална информация Автомобилът е изгорял частично след техническа неизправност. Необходима е допълнителна проверка на обстоятелствата.,Auto,Fire,Critical,Motor Claims
Полетът е закъснял с повече от шест часа. Необходима е допълнителна проверка на обстоятелствата.,Travel,Flight delay,Medium,Travel Claims
"В уведомлението е посочено, че Извършена е хирургична интервенция по медицински показания. Подадено е уведомление към застрахователя.",Health,Surgery,High,Health Claims
"В уведомлението е посочено, че Клиентът има постоянни увреждания след инцидент. Клиентът представя документи за събитието.",Accident,Permanent disability,High,Accident Claims
Медицинска комисия е определила трайна загуба на работоспособност. Необходима е допълнителна проверка на обстоятелствата.,Accident,Permanent disability,High,Accident Claims
По първоначална информация Представени са рецепта и фактура за медикаменти. Необходима е допълнителна проверка на обстоятелствата.,Health,Medication reimbursement,Low,Health Claims
Има страничен удар в лявата врата след ПТП. Подадено е уведомление към застрахователя.,Auto,Side collision,High,Motor Claims
Пострадал е посетител в обект на застрахования. Подадено е уведомление към застрахователя.,Liability,Bodily injury,Critical,Liability Claims
"Клиентът съобщава, че Счупено е огледало и има следи от вандализъм. Подадено е уведомление към застрахователя.",Auto,Vandalism,Low,Motor Claims
"Клиентът съобщава, че Покривът е повреден след силен вятър. Подадено е уведомление към застрахователя.",Property,Roof damage,High,Property Claims
По първоначална информация Клиентът иска възстановяване на разходи за лекарства. Налични са снимки на увредените части.,Health,Medication reimbursement,Low,Health Claims
"В уведомлението е посочено, че Настъпила е смърт вследствие на злополука. Клиентът представя документи за събитието.",Accident,Death benefit,Critical,Accident Claims
"В уведомлението е посочено, че Багажът е доставен със закъснение от два дни. Налични са снимки на увредените части.",Travel,Delayed baggage,Low,Travel Claims
По първоначална информация Токов удар е повредил телевизор и компютър. Налични са снимки на увредените части.,Property,Electrical damage,Medium,Property Claims
По първоначална информация Клиентът съобщава за кражба на автомобила пред блока. Налични са снимки на увредените части.,Auto,Theft,High,Motor Claims
"В уведомлението е посочено, че Медицинска комисия е определила трайна загуба на работоспособност.",Accident,Permanent disability,Critical,Accident Claims
"Клиентът съобщава, че Счупено е страничното стъкло на автомобила.",Auto,Glass damage,Low,Motor Claims
По първоначална информация Апартаментът е наводнен след авария в банята. Необходима е допълнителна проверка на обстоятелствата.,Property,Flood,High,Property Claims
Клиентът е получил лечение в болница в чужбина. Подадено е уведомление към застрахователя.,Travel,Medical expenses,Medium,Travel Claims
По първоначална информация Необходими са адвокатски разходи за защита. Налични са снимки на увредените части.,Liability,Legal expenses,High,Liability Claims
Автомобилът е ударен странично на кръстовище. Клиентът представя документи за събитието.,Auto,Side collision,High,Motor Claims
По първоначална информация Клиентът е приет по спешност след внезапно влошаване.,Health,Emergency treatment,High,Health Claims
"Клиентът съобщава, че Има теч от покрива след буря. Налични са снимки на увредените части.",Property,Roof damage,Medium,Property Claims
"В уведомлението е посочено, че Клиентът е приет по спешност след внезапно влошаване. Необходима е допълнителна проверка на обстоятелствата.",Health,Emergency treatment,Critical,Health Claims
"В уведомлението е посочено, че Сградата е получила конструктивни повреди след трус.",Property,Earthquake,High,Property Claims
Автомобилът е ударен отзад в София и има повреди по бронята. Налични са снимки на увредените части.,Auto,Collision,Medium,Motor Claims
"В уведомлението е посочено, че Счупено е страничното стъкло на автомобила. Подадено е уведомление към застрахователя.",Auto,Glass damage,Medium,Motor Claims
"В уведомлението е посочено, че След пренапрежение са изгорели електроуреди. Клиентът представя документи за събитието.",Property,Electrical damage,Medium,Property Claims
По първоначална информация Силен вятър е повредил прозорци и външна изолация.,Property,Storm,High,Property Claims
Подадени са документи за лечение в болница. Налични са снимки на увредените части.,Health,Hospitalization,High,Health Claims
Повредена е електроника след късо съединение. Необходима е допълнителна проверка на обстоятелствата.,Property,Electrical damage,Medium,Property Claims
"Клиентът съобщава, че Необходима е спешна евакуация по медицински причини. Подадено е уведомление към застрахователя.",Travel,Emergency evacuation,Critical,Travel Claims
"Клиентът съобщава, че Полетът е закъснял с повече от шест часа. Подадено е уведомление към застрахователя.",Travel,Flight delay,Medium,Travel Claims
След силна буря има паднали клони върху покрива. Налични са снимки на увредените части.,Property,Storm,High,Property Claims
Автомобилът се е ударил в животно на пътя. Подадено е уведомление към застрахователя.,Auto,Animal collision,High,Motor Claims
По първоначална информация След спукана тръба са увредени мебели и стени. Клиентът представя документи за събитието.,Property,Flood,High,Property Claims
По първоначална информация След спукана тръба са увредени мебели и стени. Клиентът представя документи за събитието.,Property,Flood,High,Property Claims
Има страничен удар в лявата врата след ПТП.,Auto,Side collision,Medium,Motor Claims
По първоначална информация Издаден е болничен лист след инцидент. Подадено е уведомление към застрахователя.,Accident,Temporary disability,Medium,Accident Claims
По първоначална информация Клиентът е претърпял операция и представя болнични документи. Клиентът представя документи за събитието.,Health,Surgery,Critical,Health Claims
Откраднати са гуми и джанти от автомобила. Подадено е уведомление към застрахователя.,Auto,Theft,High,Motor Claims
"Клиентът съобщава, че След спукана тръба са увредени мебели и стени. Клиентът представя документи за събитието.",Property,Flood,High,Property Claims
Необходима е спешна евакуация по медицински причини. Необходима е допълнителна проверка на обстоятелствата.,Travel,Emergency evacuation,Critical,Travel Claims
"В уведомлението е посочено, че Има взломна кражба и повредена входна врата. Налични са снимки на увредените части.",Property,Theft,High,Property Claims
Необходими са адвокатски разходи за защита.,Liability,Legal expenses,High,Liability Claims
След спукана тръба са увредени мебели и стени. Подадено е уведомление към застрахователя.,Property,Flood,Medium,Property Claims
"Клиентът съобщава, че Паднали керемиди са причинили щети по тавана. Клиентът представя документи за събитието.",Property,Roof damage,Medium,Property Claims
"В уведомлението е посочено, че Клиентът е останал без багаж при пристигане. Клиентът представя документи за събитието.",Travel,Delayed baggage,Medium,Travel Claims
"Клиентът съобщава, че Водачът е изгубил контрол и се е ударил в мантинела на паркинг. Налични са снимки на увредените части.",Auto,Collision,Medium,Motor Claims
По автомобила има множество следи от градушка. Необходима е допълнителна проверка на обстоятелствата.,Auto,Hail,Medium,Motor Claims
"В уведомлението е посочено, че Клиентът е отговорен за материални щети към трета страна. Клиентът представя документи за събитието.",Liability,Property damage,Medium,Liability Claims
"Клиентът съобщава, че Клиентът е транспортиран до болница с линейка. Клиентът представя документи за събитието.",Travel,Emergency evacuation,Critical,Travel Claims
"Клиентът съобщава, че По време на пътуване е възникнала нужда от медицинска евакуация.",Travel,Emergency evacuation,High,Travel Claims
Полетът е отменен и клиентът е направил допълнителни разходи. Необходима е допълнителна проверка на обстоятелствата.,Travel,Flight cancellation,High,Travel Claims
"Клиентът съобщава, че Необходима е спешна евакуация по медицински причини. Клиентът представя документи за събитието.",Travel,Emergency evacuation,Critical,Travel Claims
"В уведомлението е посочено, че Счупено е страничното стъкло на автомобила. Налични са снимки на увредените части.",Auto,Glass damage,Medium,Motor Claims
Буря е нанесла щети по фасадата на къщата.,Property,Storm,High,Property Claims
Необходими са адвокатски разходи за защита. Необходима е допълнителна проверка на обстоятелствата.,Liability,Legal expenses,High,Liability Claims
"В уведомлението е посочено, че Клиентът е потърсил лекарска помощ в чужбина. Налични са снимки на увредените части.",Travel,Medical expenses,Medium,Travel Claims
"Клиентът съобщава, че Спукана тръба е причинила щети по стените и тавана. Подадено е уведомление към застрахователя.",Property,Burst pipe,High,Property Claims
Пожар е унищожил част от кухнята. Налични са снимки на увредените части.,Property,Fire,High,Property Claims
"В уведомлението е посочено, че Необходими са адвокатски разходи за защита. Налични са снимки на увредените части.",Liability,Legal expenses,Medium,Liability Claims
"В уведомлението е посочено, че При ремонт са повредени вещи на трето лице.",Liability,Property damage,High,Liability Claims
"В уведомлението е посочено, че Извършено е лечение в спешно отделение. Необходима е допълнителна проверка на обстоятелствата.",Health,Emergency treatment,High,Health Claims
Водопроводна авария е наводнила коридора. Налични са снимки на увредените части.,Property,Burst pipe,Medium,Property Claims
Клиентът е отговорен за материални щети към трета страна. Подадено е уведомление към застрахователя.,Liability,Property damage,Medium,Liability Claims
Откраднати са гуми и джанти от автомобила.,Auto,Theft,High,Motor Claims
Неизвестни лица са проникнали в имота и са откраднали имущество. Налични са снимки на увредените части.,Property,Theft,Medium,Property Claims
"Клиентът съобщава, че След сблъсък между два автомобила има щети по калника и фара. Клиентът представя документи за събитието.",Auto,Collision,High,Motor Claims
"В уведомлението е посочено, че Клиентът е получил счупване на ръка след падане. Налични са снимки на увредените части.",Accident,Fracture,Medium,Accident Claims
Спукана тръба е причинила щети по стените и тавана. Подадено е уведомление към застрахователя.,Property,Burst pipe,High,Property Claims
"Клиентът съобщава, че Пожар е унищожил купето на автомобила. Налични са снимки на увредените части.",Auto,Fire,High,Motor Claims
След силна градушка автомобилът има вдлъбнатини по капака и покрива. Клиентът представя документи за събитието.,Auto,Hail,Low,Motor Claims
Има паднала мазилка и напукани тавани след земетресение. Необходима е допълнителна проверка на обстоятелствата.,Property,Earthquake,Critical,Property Claims
"В уведомлението е посочено, че Има страничен удар в лявата врата след ПТП.",Auto,Side collision,Medium,Motor Claims
Необходима е спешна евакуация по медицински причини. Необходима е допълнителна проверка на обстоятелствата.,Travel,Emergency evacuation,High,Travel Claims
Подадени са документи за лечение в болница. Необходима е допълнителна проверка на обстоятелствата.,Health,Hospitalization,Medium,Health Claims
"Клиентът съобщава, че Полетът е закъснял с повече от шест часа. Клиентът представя документи за събитието.",Travel,Flight delay,Medium,Travel Claims
Клиентът е временно нетрудоспособен след злополука. Налични са снимки на увредените части.,Accident,Temporary disability,Medium,Accident Claims
По първоначална информация При спиране в задръстване друг автомобил се е ударил отзад. Налични са снимки на увредените части.,Auto,Rear-end collision,High,Motor Claims
"В уведомлението е посочено, че След удар с диво животно има повредена броня и радиатор. Необходима е допълнителна проверка на обстоятелствата.",Auto,Animal collision,High,Motor Claims
По първоначална информация Клиентът съобщава за удар отзад и повреден багажник.,Auto,Rear-end collision,High,Motor Claims
По първоначална информация Извършена е хирургична интервенция по медицински показания. Подадено е уведомление към застрахователя.,Health,Surgery,Critical,Health Claims
По първоначална информация Представени са рецепта и фактура за медикаменти.,Health,Medication reimbursement,Low,Health Claims
"В уведомлението е посочено, че Настъпила е смърт вследствие на злополука. Необходима е допълнителна проверка на обстоятелствата.",Accident,Death benefit,Critical,Accident Claims
По първоначална информация Клиентът е временно нетрудоспособен след злополука.,Accident,Temporary disability,Medium,Accident Claims
По първоначална информация Предното стъкло е спукано от камък по време на движение. Налични са снимки на увредените части.,Auto,Glass damage,Low,Motor Claims
"В уведомлението е посочено, че По време на пътуване е възникнала нужда от медицинска евакуация. Подадено е уведомление към застрахователя.",Travel,Emergency evacuation,Critical,Travel Claims
След пренапрежение са изгорели електроуреди. Налични са снимки на увредените части.,Property,Electrical damage,Low,Property Claims
Клиентът е отговорен за материални щети към трета страна. Подадено е уведомление към застрахователя.,Liability,Property damage,High,Liability Claims
"В уведомлението е посочено, че На паркинг неизвестен автомобил е ударил колата и е повредена вратата. Необходима е допълнителна проверка на обстоятелствата.",Auto,Collision,High,Motor Claims
Извършена е хирургична интервенция по медицински показания. Подадено е уведомление към застрахователя.,Health,Surgery,Critical,Health Claims
По първоначална информация Извършено е амбулаторно лечение.,Health,Outpatient treatment,Low,Health Claims
"Клиентът съобщава, че При ремонт са повредени вещи на трето лице. Подадено е уведомление към застрахователя.",Liability,Property damage,Medium,Liability Claims
"Клиентът съобщава, че Има взломна кражба и повредена входна врата. Необходима е допълнителна проверка на обстоятелствата.",Property,Theft,High,Property Claims
"Клиентът съобщава, че Клиентът съобщава за кражба на автомобила пред блока. Необходима е допълнителна проверка на обстоятелствата.",Auto,Theft,Critical,Motor Claims
По първоначална информация Автомобилът се е ударил в животно на пътя. Клиентът представя документи за събитието.,Auto,Animal collision,High,Motor Claims
"Клиентът съобщава, че Трето лице е пострадало по вина на застрахования. Подадено е уведомление към застрахователя.",Liability,Bodily injury,High,Liability Claims
"Клиентът съобщава, че Издаден е болничен лист след инцидент. Налични са снимки на увредените части.",Accident,Temporary disability,High,Accident Claims
Автомобилът е наводнен след проливен дъжд. Необходима е допълнителна проверка на обстоятелствата.,Auto,Flood,High,Motor Claims
"Клиентът съобщава, че Пострадалият има счупена кост след злополука. Необходима е допълнителна проверка на обстоятелствата.",Accident,Fracture,Medium,Accident Claims
"Клиентът съобщава, че Друг водач е отнел предимство и е ударил автомобила отстрани. Необходима е допълнителна проверка на обстоятелствата.",Auto,Side collision,Medium,Motor Claims
Има паднала мазилка и напукани тавани след земетресение. Налични са снимки на увредените части.,Property,Earthquake,Critical,Property Claims
"В уведомлението е посочено, че Автомобилът е откраднат през нощта от паркинг. Необходима е допълнителна проверка на обстоятелствата.",Auto,Theft,High,Motor Claims
"Клиентът съобщава, че Счупено е огледало и има следи от вандализъм. Необходима е допълнителна проверка на обстоятелствата.",Auto,Vandalism,Low,Motor Claims
Клиентът съобщава за удар отзад и повреден багажник. Налични са снимки на увредените части.,Auto,Rear-end collision,High,Motor Claims
"В уведомлението е посочено, че Пострадал е посетител в обект на застрахования. Клиентът представя документи за събитието.",Liability,Bodily injury,Critical,Liability Claims
